n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
15,3,0.0,cosine,10,5,euclidean,eom,True,1071,0.0575,0.7359,0.4488,0.5576176089771256,0.9712106299212597,0.003073484213467421,0.5106339077039509,0.28034554659529654
15,3,0.0,cosine,10,10,euclidean,eom,True,743,0.0594,0.6965,0.4896,0.5658178679326715,0.874261811023622,0.11707180776753282,0.5190504955746088,0.34144483785010216
15,3,0.0,cosine,10,20,euclidean,eom,True,453,0.0634,0.6598,0.5424,0.5830815709969788,0.7839566929133859,0.2645990500139704,0.543879104641445,0.42384031050547455
15,3,0.0,cosine,20,5,euclidean,eom,True,571,0.0655,0.6508,0.5166,0.5921450151057401,0.7618110236220472,0.1925118748253701,0.5154893045177191,0.39232844496555513
15,3,0.0,cosine,20,10,euclidean,eom,True,464,0.0681,0.63,0.5457,0.6033664220975398,0.7106299212598425,0.27381950265437266,0.5292719486705849,0.43859296237595624
15,3,0.0,cosine,20,20,euclidean,eom,True,388,0.0696,0.6271,0.5671,0.609840310746655,0.7034940944881889,0.33361274098910326,0.548982382074649,0.4717265258678791
15,3,0.0,cosine,30,5,euclidean,eom,True,394,0.0657,0.6358,0.5623,0.5930082002589555,0.7249015748031497,0.3202011735121543,0.5460369828580866,0.4566046868855549
15,3,0.0,cosine,30,10,euclidean,eom,True,332,0.074,0.6304,0.5844,0.6288303841173931,0.7116141732283463,0.3819502654372731,0.5741316075943376,0.5053903247773331
15,3,0.0,cosine,30,20,euclidean,eom,True,308,0.0819,0.6159,0.6054,0.6629261976694001,0.6759350393700787,0.4406258731489245,0.5931623700628011,0.5517760354091623
15,3,0.0,cosine,50,5,euclidean,eom,True,232,0.0694,0.6427,0.6009,0.6089771255934397,0.7418799212598426,0.4280525286392847,0.5929698584975224,0.5185148271163622
15,3,0.0,cosine,50,10,euclidean,eom,True,218,0.075,0.6202,0.6215,0.63314630988347,0.686515748031496,0.48561050572785713,0.6017575212142744,0.5593784078056636
15,3,0.0,cosine,50,20,euclidean,eom,True,187,0.0557,0.6214,0.6306,0.5498489425981873,0.6894685039370076,0.511036602402906,0.5834513496460336,0.5304427725005467
15,3,0.0,cosine,75,5,euclidean,eom,True,171,0.0775,0.6263,0.6508,0.643936124298662,0.7015255905511809,0.5674769488683992,0.6376462212394141,0.6057065365835306
15,3,0.0,cosine,75,10,euclidean,eom,True,164,0.0872,0.6427,0.6498,0.6858006042296071,0.7418799212598426,0.5646828723107015,0.6641211326000503,0.6252417382701543
15,3,0.0,cosine,75,20,euclidean,eom,True,152,0.1047,0.6507,0.6377,0.7613293051359517,0.7615649606299211,0.5308745459625596,0.6845896039094774,0.6461019255492556
15,3,0.0,cosine,100,5,euclidean,eom,True,136,0.0895,0.6515,0.6549,0.6957272334915839,0.7635334645669289,0.5789326627549596,0.679397786937824,0.6373299481232717
15,3,0.0,cosine,100,10,euclidean,eom,True,60,-0.042,0.4233,0.7502,0.12818299525248164,0.20201771653543307,0.8452081587035485,0.3918029568304877,0.4866955769780151
15,3,0.0,cosine,100,20,euclidean,eom,True,60,-0.0462,0.4217,0.7727,0.110056107034959,0.19808070866141733,0.9080748812517465,0.40540389898270757,0.5090654941433528
15,3,0.0,cosine,150,5,euclidean,eom,True,54,-0.0328,0.4574,0.7576,0.1678895123003884,0.2859251968503936,0.8658843252305115,0.43989967812709785,0.5168869187654499
15,3,0.0,cosine,150,10,euclidean,eom,True,49,-0.0367,0.4571,0.7726,0.15105740181268879,0.28518700787401574,0.9077954735959765,0.4480132944275603,0.5294264377043326
15,3,0.0,cosine,150,20,euclidean,eom,True,51,-0.0356,0.4392,0.7808,0.1558049201553733,0.24114173228346447,0.9307069013690977,0.44255118460264514,0.5432559107622356
15,3,0.0,cosine,200,5,euclidean,eom,True,43,-0.0292,0.4884,0.7638,0.18342684505826498,0.3622047244094488,0.883207599888237,0.47627972311865024,0.533317222473251
15,3,0.0,cosine,200,10,euclidean,eom,True,39,-0.0316,0.5,0.7769,0.17306862321968058,0.39074803149606296,0.9198100027940767,0.49454221916994,0.5464393130068786
15,3,0.0,cosine,200,20,euclidean,eom,True,40,-0.0398,0.49,0.7783,0.13767803193785064,0.3661417322834645,0.9237217099748534,0.4758471580653895,0.530699870956352
15,5,0.0,cosine,10,5,euclidean,eom,True,950,0.0823,0.7152,0.4728,0.6646525679758307,0.9202755905511809,0.07013132159821182,0.5516864933750745,0.36739194478702125
15,5,0.0,cosine,10,10,euclidean,eom,True,761,0.0914,0.6993,0.4974,0.7039274924471298,0.8811515748031495,0.1388656049175748,0.5746482240559514,0.4213965486823523
15,5,0.0,cosine,10,20,euclidean,eom,True,468,0.0966,0.6622,0.5444,0.7263703064307293,0.7898622047244094,0.2701872031293658,0.5954732380948348,0.4982787547800476
15,5,0.0,cosine,20,5,euclidean,eom,True,538,0.0864,0.6554,0.5276,0.6823478636167458,0.7731299212598424,0.22324671696004464,0.5595748339455443,0.4527972902883952
15,5,0.0,cosine,20,10,euclidean,eom,True,474,0.0946,0.6479,0.5469,0.7177384548985757,0.7546751968503937,0.27717239452361014,0.5831953487575265,0.49745542471109294
15,5,0.0,cosine,20,20,euclidean,eom,True,418,0.1011,0.6404,0.5675,0.745791972378075,0.7362204724409447,0.3347303716121822,0.6055809388104006,0.5402611719951287
15,5,0.0,cosine,30,5,euclidean,eom,True,381,0.0863,0.632,0.5716,0.6819162710401381,0.7155511811023622,0.3461860854987427,0.5812178458804143,0.5140511782694404
15,5,0.0,cosine,30,10,euclidean,eom,True,345,0.0956,0.6241,0.5935,0.7220543806646526,0.6961122047244094,0.407376362112322,0.6085143158337947,0.5647153713884873
