n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
15,3,0.0,cosine,10,5,euclidean,eom,True,1115,0.0545,0.743,0.4453,0.37171215880893294,0.985883250667684,0.0,0.4525318031588723,0.18585607940446647
15,3,0.0,cosine,10,10,euclidean,eom,True,746,0.059,0.7027,0.4959,0.3940446650124069,0.832125143075162,0.14051652318800342,0.4555621104251908,0.26728059410020516
15,3,0.0,cosine,10,20,euclidean,eom,True,453,0.0754,0.6528,0.5373,0.4754342431761786,0.6417397939717666,0.25548458761455156,0.45755287492083224,0.3654594153953651
15,3,0.0,cosine,20,5,euclidean,eom,True,567,0.0699,0.6603,0.5213,0.4481389578163772,0.6703548264021365,0.21105248542071647,0.4431820898797434,0.32959572161854683
15,3,0.0,cosine,20,10,euclidean,eom,True,469,0.0702,0.6367,0.5438,0.4496277915632754,0.5803128576879055,0.2735351291307969,0.4344919261273259,0.3615814603470362
15,3,0.0,cosine,20,20,euclidean,eom,True,395,0.0857,0.6251,0.5619,0.5265508684863524,0.5360549408622662,0.3237989447375728,0.46213491802873047,0.42517490661196256
15,3,0.0,cosine,30,5,euclidean,eom,True,384,0.0624,0.6315,0.557,0.41091811414392054,0.5604731018695153,0.3101916134407111,0.42719427648471564,0.3605548637923158
15,3,0.0,cosine,30,10,euclidean,eom,True,351,0.069,0.6342,0.5686,0.4436724565756824,0.5707745135444486,0.3424048875312414,0.45228395255045745,0.3930386720534619
15,3,0.0,cosine,30,20,euclidean,eom,True,287,0.0747,0.6122,0.5988,0.47196029776674936,0.4868370850820296,0.426270480422105,0.46168928775696133,0.44911538909442716
15,3,0.0,cosine,50,5,euclidean,eom,True,230,0.0716,0.6378,0.5988,0.456575682382134,0.5845097291110264,0.426270480422105,0.4891186306384217,0.4414230814021195
15,3,0.0,cosine,50,10,euclidean,eom,True,213,0.0723,0.6272,0.6185,0.4600496277915633,0.5440671499427698,0.4809775062482645,0.4950314279941992,0.47051356701991387
15,3,0.0,cosine,50,20,euclidean,eom,True,197,0.0665,0.6051,0.6346,0.4312655086848635,0.4597481877146126,0.5256873090808111,0.472233668493429,0.47847640888283727
15,3,0.0,cosine,75,5,euclidean,eom,True,166,0.0793,0.6398,0.6274,0.494789081885856,0.5921404044257917,0.5056928630935851,0.530874116468411,0.5002409724897205
15,3,0.0,cosine,75,10,euclidean,eom,True,159,0.0733,0.634,0.632,0.4650124069478908,0.5700114460129722,0.5184670924743128,0.5178303151450586,0.4917397497111018
15,3,0.0,cosine,75,20,euclidean,eom,True,149,0.079,0.6201,0.6443,0.4933002481389578,0.5169782525753528,0.5526242710358233,0.5209675905833779,0.5229622595873906
15,3,0.0,cosine,100,5,euclidean,eom,True,132,0.0738,0.6341,0.6531,0.4674937965260546,0.5703929797787104,0.5770619272424328,0.5383162345157326,0.5222778618842436
15,3,0.0,cosine,100,10,euclidean,eom,True,122,0.0669,0.6328,0.6612,0.43325062034739453,0.565433040824113,0.5995556789780617,0.5327464467165232,0.5164031496627282
15,3,0.0,cosine,100,20,euclidean,eom,True,123,0.075,0.6325,0.6668,0.4734491315136476,0.5642884395268979,0.6151069147459038,0.5509481619288165,0.5442780231297757
15,3,0.0,cosine,150,5,euclidean,eom,True,97,0.0906,0.6619,0.6792,0.5508684863523573,0.676459366653949,0.6495417939461262,0.6256232156508109,0.6002051401492418
15,3,0.0,cosine,150,10,euclidean,eom,True,93,0.0868,0.6667,0.6719,0.5320099255583126,0.6947729874093855,0.629269647320189,0.618684186762629,0.5806397864392507
15,3,0.0,cosine,150,20,euclidean,eom,True,91,0.0888,0.656,0.6935,0.5419354838709677,0.6539488744753912,0.6892529852818662,0.6283791145427416,0.6155942345764169
